Location,State,Region
Connecticut,CT,NorthEast
Maine,ME,NorthEast
Massachusetts,MA,NorthEast
New Hampshire,NH,NorthEast
Rhode Island,RI,NorthEast
Vermont,VT,NorthEast
New Jersey,NJ,NorthEast
New York State,NY,NorthEast
Pennsylvania,PA,NorthEast
Indiana,IN,MidWest
Illinois,IL,MidWest
Michigan,MI,MidWest
Ohio,OH,MidWest
Wisconsin,WI,MidWest
Iowa,IA,South
Kansas,KS,South
Minnesota,MN,South
Missouri,MO,South
Nebraska,NE,South
North Dakota,ND,South
South Dakota,SD,South
Delaware,DE,South
District of Columbia,DC,South
Florida,FL,South
Georgia,GA,South
Maryland,MD,South
North Carolina,NC,South
South Carolina,SC,South
Virginia,VA,South
West Virginia,WV,South
Alabama,AL,South
Kentucky,KY,South
Mississippi,MS,South
Tennessee,TN,South
Arkansas,AR,West
Louisiana,LA,West
Oklahoma,OK,West
Texas,TX,West
Arizona,AZ,West
Colorado,CO,West
Idaho,ID,West
New Mexico,NM,West
Montana,MT,West
Utah,UT,West
Nevada,NV,West
Wyoming,WY,West
Alaska,AK,West
California,CA,West
Hawaii,HI,West
Oregon,OR,West
Washington,WA,West